language,id,name,region,country,gender,url
jamaican creole english,2549,jamaican creole english4,kingston,jamaica,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2549
japanese,221,japanese1,tokyo,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=221
japanese,222,japanese2,tokyo,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=222
japanese,223,japanese3,"kofu, yamanashi prefecture",japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=223
japanese,224,japanese4,tokyo,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=224
japanese,225,japanese5,chiba,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=225
japanese,226,japanese6,kawasaki,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=226
japanese,227,japanese7,osaka,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=227
japanese,486,japanese8,tokyo,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=486
japanese,543,japanese9,yokohama,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=543
japanese,827,japanese10,hakodate,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=827
japanese,1046,japanese11,toyama,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1046
japanese,1365,japanese12,tokyo,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1365
japanese,1381,japanese13,gunma,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1381
japanese,1382,japanese14,akashi,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1382
japanese,1521,japanese15,osaka,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1521
japanese,1537,japanese16,clark field,philippines,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1537
japanese,1610,japanese17,nara,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1610
japanese,1626,japanese18,kyoto,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1626
japanese,1684,japanese19,naha,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1684
japanese,1833,japanese20,yokosuka,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1833
japanese,1847,japanese21,tokyo,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1847
japanese,1881,japanese22,ashiya,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1881
japanese,1942,japanese23,kawasaki,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1942
japanese,1948,japanese24,tokyo,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1948
japanese,1987,japanese25,kyoto,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1987
japanese,1991,japanese26,yokosuka,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1991
japanese,2123,japanese27,tokyo,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2123
japanese,2390,japanese28,tokyo,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2390
japanese,2436,japanese29,nagoya,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2436
japanese,2492,japanese30,miyazaki,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2492
japanese,2493,japanese31,saitama,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2493
japanese,2547,japanese32,tokyo,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2547
japanese,2555,japanese33,ako,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2555
japanese,2567,japanese34,komaki,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2567
japanese,2723,japanese35,tokyo,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2723
japanese,2797,japanese36,tokyo,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2797
japanese,2807,japanese37,kobe,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2807
japanese,2826,japanese38,osaka,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2826
japanese,2843,japanese39,osaka,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2843
japanese,2850,japanese40,"ohara machi, chiba prefecture",japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2850
japanese,2866,japanese41,tokyo,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2866
japanese,2940,japanese42,tokyo,japan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2940
japanese,2953,japanese43,okinawa,japan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2953
javanese,2563,javanese1,"malang, east java",indonesisa,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2563
kabyle,1190,kabyle1,algiers,algeria,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1190
kamba,2582,kamba1,nakuru,kenya,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2582
kambaata,978,kambaata1,hosanna,ethiopia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=978
kambaata,1002,kambaata2,durame,ethiopia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1002
kambaata,1033,kambaata3,hosanna,ethiopia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1033
kannada,228,kannada1,bangalore,india,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=228
kannada,2237,kannada2,bangalore,india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2237
kannada,2286,kannada3,"hassan, karnataka",india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2286
kannada,2287,kannada4,"detroit, michigan",usa,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2287
kannada,2350,kannada5,"hubballi, karnataka",india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2350
kannada,2351,kannada6,"karwar, karnataka",india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2351
kannada,2358,kannada7,"bangalore, karnataka",india,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2358
kannada,2363,kannada8,"bangalore, karnataka",india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2363
kannada,2458,kannada9,"bangalore, karnataka",india,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2458
kanuri,1049,kanuri1,kaduna,nigeria,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1049
kazakh,229,kazakh1,semey,kazakhstan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=229
kazakh,1234,kazakh2,almaty,kazakhstan,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1234
kazakh,1763,kazakh3,almaty,kazakhstan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1763
kazakh,2450,kazakh4,kokshetau,kazakhstan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2450
khalkha mongol,267,mongolian1,ulaanbaatar,mongolia,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=267
khalkha mongol,268,mongolian2,ulaanbaatar,mongolia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=268
khalkha mongol,762,mongolian3,ulaanbaatar,mongolia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=762
khalkha mongol,1024,mongolian4,ulaanbaatar,mongolia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1024
khalkha mongol,1135,mongolian5,sofia,bulgaria,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1135
khalkha mongol,1199,mongolian6,sukhbaatar,mongolia,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1199
khalkha mongol,1811,mongolian7,darhan,mongolia,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1811
khalkha mongol,1896,mongolian9,yekaterinburg,russia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1896
khalkha mongol,2789,mongolian10,ulaanbaatar,mongolia,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2789
khasonke,785,xasonga1,tambacounda,senegal,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=785
khmer,230,khmer1,phnom penh,cambodia,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=230
khmer,231,khmer2,phnom penh,cambodia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=231
khmer,232,khmer3,"baling, kampongthum",cambodia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=232
khmer,1087,khmer4,phnom penh,cambodia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1087
khmer,1609,khmer5,kampong speu,cambodia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1609
khmer,1669,khmer6,auburn,australia,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1669
khmer,1911,khmer7,siem reap,cambodia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1911
khmer,2695,khmer8,phnom penh,cambodia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2695
khmer,2736,khmer9,phnom penh,cambodia,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2736
kikongo,464,kikongo1,"new orleans, louisiana",usa,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=464
kikongo,1031,kikongo2,"kimulaza, uige",angola,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1031
kikuyu,466,kikuyu1,nairobi,kenya,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=466
kikuyu,1155,kikuyu2,kerugoya,kenya,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1155
kikuyu,1156,kikuyu3,nairobi,kenya,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1156
kikuyu,1790,kikuyu4,nairobi,kenya,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1790
kikuyu,2585,kikuyu5,nairobi,kenya,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2585
kinyarwanda,1038,rwanda1,byumba,rwanda,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1038
kirghiz,233,kyrgyz1,bishkek,kyrgyzstan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=233
kirghiz,2446,kyrgyz2,bishkek,kyrgystan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2446
kirghiz,2572,kyrgyz3,bishkek,kyrgystan,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2572
kirundi,1272,rundi1,bururi,burundi,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1272
kiswahili,234,kiswahili1,dar-es-salaam,tanzania,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=234
kiswahili,235,kiswahili2,kigoma,tanzania,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=235
kiswahili,236,kiswahili3,nairobi,kenya,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=236
kiswahili,237,kiswahili4,"goma, north kivu",democratic republic of congo,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=237
kiswahili,877,kiswahili5,tanga,tanzania,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=877
kiswahili,887,kiswahili6,dar-es-salaam,tanzania,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=887
kiswahili,934,kiswahili7,dar-es-salaam,tanzania,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=934
kiswahili,1041,kiswahili8,nyeri,kenya,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1041
kiswahili,1146,kiswahili9,tanga,tanzania,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1146
