model_name,dataset_name,optimizer_name,learning_rate,sequence_aggregation,dimension_name,total_num_batches,start_time,best_r2,best_mse,best_rmse,best_mae,best_weights,best_model_path,final_model_path
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0005,min,intensity,20000,1661545308,0.4779147556156061,0.1036834891182847,0.3219992067044339,0.2602971868409219,"[0.07470485 0.08098958 0.08089466 0.08086561 0.08104603 0.07999806
 0.07894915 0.07669256 0.07214127 0.07218657 0.07379117 0.07303564
 0.07470485]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661545308_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661545308_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0005,min,arousal,20000,1661551767,0.29535583792433,0.1159200481100308,0.3404703336709835,0.2698149143137621,"[0.06617211 0.0896908  0.08956544 0.09218292 0.09661128 0.09623289
 0.08169497 0.07263916 0.06608236 0.0637034  0.06150488 0.05774767
 0.06617211]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661551767_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661551767_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,0.0005,mean,valence,20000,1661557893,0.3359199289160721,0.1941507079171318,0.4406253600476621,0.3755617233676107,"[0.07670012 0.07706205 0.07694858 0.07702055 0.0770111  0.0769735
 0.07705097 0.07789051 0.07737619 0.07603786 0.07646842 0.07676011
 0.07670012]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661557893_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661557893_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,1e-05,mean,valence,20000,1661565376,0.3679289214117849,0.184792546419207,0.4298750358176281,0.3636402393032735,"[0.07751279 0.07617091 0.0761072  0.07638461 0.07637142 0.0764574
 0.07672889 0.0776858  0.07708139 0.07670795 0.07747791 0.07780096
 0.07751279]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661565376_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661565376_FINAL.pt
hubert_base_ls960,morgan_emotional_speech_set,adam,0.0001,mean,valence,20000,1661565382,0.9117282177691935,28.234901342629865,5.313652354325588,4.302405211625885,"[0.07259354 0.07497335 0.07571225 0.07745481 0.07848716 0.08231295
 0.08407442 0.08627069 0.0752697  0.07254974 0.07475757 0.0729503
 0.07259354]",dimension_models/model_objects/morgan_emotional_speech_set_valence_hubert_base_ls960_1661565382_BEST.pt,dimension_models/model_objects/morgan_emotional_speech_set_valence_hubert_base_ls960_1661565382_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,1e-05,mean,intensity,20000,1661571982,0.4479798595126487,0.1096284080902961,0.331101809252526,0.2735494389926939,"[0.07729146 0.07655974 0.07660755 0.07658761 0.07664648 0.07657511
 0.07660934 0.07692049 0.07690328 0.07700185 0.07752039 0.07748517
 0.07729146]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661571982_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_intensity_hubert_base_ls960_1661571982_FINAL.pt
hubert_base_ls960,morgan_emotional_speech_set,adam,0.0001,mean,arousal,20000,1661573512,0.942592583392537,17.40353543766903,4.171754479552821,3.346903487285237,"[0.07587055 0.07936382 0.08352934 0.08362427 0.07930129 0.07942878
 0.07618794 0.08101918 0.07525241 0.06834094 0.06933594 0.07287502
 0.07587055]",dimension_models/model_objects/morgan_emotional_speech_set_arousal_hubert_base_ls960_1661573512_BEST.pt,dimension_models/model_objects/morgan_emotional_speech_set_arousal_hubert_base_ls960_1661573512_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,1e-05,mean,arousal,20000,1661579053,0.2306645268066794,0.1265623272924329,0.355755994035846,0.2895874018367866,"[0.0771995  0.07656859 0.0766362  0.07663988 0.07669199 0.07655606
 0.07660665 0.07710588 0.07684805 0.07721831 0.07744261 0.07728674
 0.0771995 ]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661579053_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_arousal_hubert_base_ls960_1661579053_FINAL.pt
hubert_base_ls960,EU_Emotion_Stimulus_Set,adam,1e-05,max,valence,20000,1661585963,0.2874618903245682,0.2083179189304965,0.4564185786430001,0.368714764653262,"[0.07768571 0.07600063 0.07628464 0.07656265 0.0765937  0.07687104
 0.07691912 0.07738558 0.07696766 0.07669862 0.076855   0.07748981
 0.07768571]",dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661585963_BEST.pt,dimension_models/model_objects/EU_Emotion_Stimulus_Set_valence_hubert_base_ls960_1661585963_FINAL.pt
hubert_base_ls960,morgan_emotional_speech_set,adam,0.0001,max,valence,20000,1661581835,0.9230325381375416,24.61906440947237,4.96176021281484,4.009027695178526,"[0.07621336 0.07737394 0.07781447 0.07807531 0.07837857 0.07854065
 0.07769995 0.07738859 0.07557011 0.07563078 0.07586548 0.07523542
 0.07621336]",dimension_models/model_objects/morgan_emotional_speech_set_valence_hubert_base_ls960_1661581835_BEST.pt,dimension_models/model_objects/morgan_emotional_speech_set_valence_hubert_base_ls960_1661581835_FINAL.pt
